table_id,entry_type,entry_id,weight,min_count,max_count,drop_chance
forest_zone_loot,Table,goblin_loot,100,1,1,1.0
goblin_loot,Item,longsword_common,50,1,1,0.5
goblin_loot,Item,longsword_uncommon,50,1,2,0.3
orc_loot,Item,longsword_uncommon,50,1,1,0.5
orc_loot,Item,Battle_Axe_uncommon,30,1,1,0.4
orc_loot,Item,iron_plate_uncommon,20,1,1,0.3
loot_warrior_grunt,Item,greatsword_common,10,1,1,0.3
loot_warrior_grunt,Item,plate_armor_common,10,1,1,0.3
loot_warrior_grunt,Item,battle_axe_common,10,1,1,0.2
loot_warrior_elite,Item,battle_axe_uncommon,10,1,1,0.5
loot_warrior_elite,Item,plate_armor_uncommon,10,1,1,0.5
loot_warrior_elite,Item,great_helm_uncommon,5,1,1,0.3
loot_warrior_boss,Item,greatsword_rare,10,1,1,1.0
loot_warrior_boss,Item,plate_armor_rare,10,1,1,1.0
loot_warrior_boss,Item,iron_amulet_epic,1,1,1,0.1
loot_rogue_grunt,Item,assassin_dagger_common,10,1,1,0.3
loot_rogue_grunt,Item,leather_tunic_common,10,1,1,0.3
loot_rogue_elite,Item,recurve_bow_uncommon,10,1,1,0.5
loot_rogue_elite,Item,leather_hood_uncommon,10,1,1,0.5
loot_rogue_boss,Item,assassin_dagger_rare,10,1,1,1.0
loot_rogue_boss,Item,shadow_cloak_rare,5,1,1,0.5
loot_mage_grunt,Item,arcane_staff_common,10,1,1,0.3
loot_mage_grunt,Item,silk_robes_common,10,1,1,0.3
loot_mage_elite,Item,spellblade_uncommon,10,1,1,0.5
loot_mage_elite,Item,mystic_orb_uncommon,10,1,1,0.5
loot_mage_boss,Item,arcane_staff_rare,10,1,1,1.0
loot_mage_boss,Item,circlet_rare,10,1,1,1.0
loot_mage_boss,Item,mystic_talisman_epic,1,1,1,0.1
