quality_id,tier_name,min_range,max_range,Normal,Common,Unusual,Uncommon,Rare,Exotic,Epic,Glorious,Exalted,Legendary,Mythic,Godly
1,Awful,0,5,35,15,5,,,,,,,,,
2,Dull,6,10,30,20,10,5,,,,,,,,
3,Mundane,11,15,40,30,20,10,5,,,,,,,
4,Decent,16,20,30,40,30,20,10,5,,,,,,
5,Fine,21,25,20,30,40,30,20,10,,,,,,
6,Good,26,30,10,20,30,40,30,20,5,,,,,
7,Great,31,35,5,10,20,30,40,30,10,5,,,,
8,Excellent,36,40,,5,10,20,30,40,20,10,5,,,
9,Superior,41,45,,,5,10,20,30,30,20,10,5,,
10,Powerful,46,50,,,,5,10,20,40,30,20,10,5,
11,Remarkable,51,55,,,,,5,10,30,40,30,20,10,5
12,Extraordinary,56,60,,,,,,5,20,30,40,30,20,10
13,Exceptional,61,65,,,,,,,10,20,30,40,30,20
14,Magnificent,66,70,,,,,,,5,10,20,30,40,30
15,Brilliant,71,75,,,,,,,,5,10,20,30,40
16,Masterful,76,85,,,,,,,,,5,10,20,30
17,Perfect,91,100,,,,,,,,,,5,15,35
